"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","399-17568-1-ND","C0603C103J5REC7411","CAP CER SMD 0603 .01UF 5% X7R 50","","10","0","0.13100","1.31"
"2","10","311-19.6KHRCT-ND","RC0603FR-0719K6L","RES 19.6K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"3","10","311-8.2KGRCT-ND","RC0603JR-078K2L","RES 8.2K OHM 5% 1/10W 0603","","10","0","0.01400","0.14"
"4","10","311-80.6KHRCT-ND","RC0603FR-0780K6L","RES 80.6K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"5","10","13-RC0603FR-1320KLCT-ND","RC0603FR-1320KL","RES 20K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"6","10","311-22.1KHRCT-ND","RC0603FR-0722K1L","RES 22.1K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"7","10","311-6.49KHRCT-ND","RC0603FR-076K49L","RES 6.49K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"8","10","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","","10","0","0.05900","0.59"
"9","10","311-23.2KHRCT-ND","RC0603FR-0723K2L","RES 23.2K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"10","10","311-18.7KHRCT-ND","RC0603FR-0718K7L","RES 18.7K OHM 1% 1/10W 0603","","10","0","0.01800","0.18"
"11","2","3314J-502ECT-ND","3314J-1-502E","TRIMMER 5K OHM 0.25W J LEAD TOP","","2","0","1.83000","3.66"
"12","2","563-ST4ETA104CT-ND","ST4ETA104","TRIMMER 100KOHM 0.25W J LEAD TOP","","2","0","1.80000","3.60"
"13","2","1727-2811-1-ND","74HC4066D,653","IC SWITCH SPST-NO X 4 95OHM 14SO","","2","0","0.45000","0.90"
"14","4","505-AD8668ARZ-ND","AD8668ARZ","IC OPAMP GP 4 CIRCUIT 14SOIC","","4","0","5.89000","23.56"